Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.105360980000,-89.99879353000000,aa,4145375,1910006407ME,19XX Clovia Ln,Aggravated Assault/Dv,723,Airways,10/14/2019  12:06AM,
35.106173190000,-89.99777309000000,ot,4181883,1912010048ME,19XX Quinn Ave,Missing Person,723,Airways,12/21/2019   3:31PM,
35.106624420000,-90.00466234000000,th,4145179,1910006218ME,14XX Kyle St,Mvt/Passenger Vehicle,723,Airways,10/13/2019   2:36PM,
35.106760783597,-89.98703922970000,aa,4186055,1912013651ME,22XX Lamar Ave,Aggravated Assault,424,Crump,12/30/2019   7:04PM,
35.106760783597,-89.98703922970000,aa,4181314,1912009133ME,22XX Lamar Ave,Aggravated Assault,424,Crump,12/19/2019   5:28PM,
35.106760783597,-89.98703922970000,we,4173847,1912003071ME,22XX Lamar Ave,Weapon Law Violations/Misdemeanor + Drugs/Narcotics Violation/Misdemeanor,424,Crump,12/07/2019   3:12AM,1
35.106760783597,-89.98703922970000,ot,4140884,1910002492ME,22XX Lamar Ave,Intimidation,424,Crump,10/05/2019   4:12PM,
35.106929971047,-89.98537023030000,aa,4166830,1911010254ME,14XX Airways Blvd,Aggravated Assault,424,Crump,11/23/2019   1:06AM,1
35.106985410000,-90.00337203000000,th,4180466,1912008469ME,17XX Edmondson Ave,Mvt/Passenger Vehicle,723,Airways,12/18/2019   8:11AM,
35.107119214799,-89.98776525880000,bu,4146284,1910007147ME,22XX Lamar Ave,Burglary/Business,723,Airways,10/15/2019  10:08AM,
35.107346400000,-90.01313352000000,dr,4153011,1910013132ME,14XX Gill Ave,Drugs/Narcotics Violation/Felony,723,Airways,10/28/2019  11:15AM,
35.107403096684,-89.98506735970000,bu,4178134,1912006765ME,13XX Airways Blvd,Burglary/Business,424,Crump,12/14/2019   3:03PM,
35.107526890000,-90.01129088000000,aa,4159410,1911003731ME,14XX Rayner St,Aggravated Assault,ZON,,11/08/2019   8:26PM,
35.107537090000,-89.98776196000000,ot,4184910,1912012792ME,22XX Lamar Ave,Intimidation,723,Airways,12/28/2019   4:52PM,
35.107744400000,-89.99761000000000,ot,4174427,1912003541ME,14XX Lapaloma Circle,Obscene/Harassing Phone Calls,723,Airways,12/08/2019  10:41AM,
35.108158620000,-90.01658330000000,ot,4181064,1912009327ME,13XX Quinn Ave,Other Theft/Non-Specific,723,Airways,12/20/2019  12:23AM,
35.108248870000,-90.01173722000000,bu,4178198,1912006850ME,13XX Rayner St,Burglary/Residential,723,Airways,12/14/2019   6:41PM,
35.108339120000,-89.99837813000000,th,4175237,1912003742ME,19XX S Pkwy E,Mvt/Passenger Vehicle,723,Airways,12/08/2019   7:52PM,
35.108357706737,-90.01399237680000,we,4180040,1912008225ME,13XX Melrose Cv,Weapon Law Violations/Felony + Drugs/Narcotics Violation/Felony,723,Airways,12/17/2019   4:51PM,1
35.108429370000,-89.98242183000000,aa,4165075,1911008720ME,Park & Grand Ave,Aggravated Assault,725,Airways,11/19/2019  11:27PM,
35.108480880000,-89.98449762000000,dr,4166718,1911010055ME,23XX Park Ave,Drugs/Narcotics Violation/Felony,521,Tillman,11/22/2019   3:47PM,1
35.108480880000,-89.98449762000000,th,4157751,1911002323ME,23XX Park Ave,Mvt/Passenger Vehicle,521,Tillman,11/06/2019   5:14AM,
35.108519620000,-89.98489185000000,aa,4159467,1911003817ME,Park Ave & Airways Blvd,Aggravated Assault,725,Airways,11/09/2019   1:58AM,
35.108589335579,-89.99553911000000,ot,4141054,1910002601ME,13XX Worthington St,Missing Person,723,Airways,10/05/2019   9:21PM,
35.108609860000,-90.01873991000000,bu,4182798,1912010926ME,13XX Quinn Ave,Burglary/Residential,723,Airways,12/23/2019   6:20PM,
35.108609860000,-90.01623436000000,ot,4181163,1912008733ME,13XX Quinn Ave,Credit Card/Atm Fraud,723,Airways,12/18/2019   5:21PM,
35.108609860000,-89.98871520000000,ot,4165500,1911009092ME,Lamar & Park Ave,Intimidation,723,Airways,11/20/2019   5:39PM,
35.108622000000,-90.00025300000000,ot,4172584,1912001947ME,18XX S Pkwy East Blvd,Other Theft/Non-Specific,723,Airways,12/04/2019   9:48PM,
35.108641920000,-89.98641242000000,bu,4170351,1911013402ME,22XX Park Ave,Burglary/Business,424,Crump,11/30/2019  11:17PM,
35.108692429997,-89.99926746190000,ot,4164424,1911008080ME,19XX S Pkwy E,Missing Person,723,Airways,11/18/2019   8:29PM,
35.108790360000,-90.01127828000000,th,4144434,1910005574ME,13XX Rayner St,Mvt/Passenger Vehicle,723,Airways,10/11/2019   5:57PM,
35.108790360000,-89.98648067000000,we,4165555,1911009040ME,13XX Bruce St,Weapon Law Violations/Felony + Drugs/Narcotics Violation/Felony,424,Crump,11/20/2019   3:54PM,1
35.108938000000,-90.01030000000000,aa,4160398,1911003919ME,15XX S Pkwy East Blvd,Aggravated Assault/Dv,723,Airways,11/09/2019  11:19AM,
35.109039972911,-89.98123208920000,ot,4138725,1910000529ME,24XX Saratoga Ave,Intimidation/Dv,521,Tillman,10/02/2019  12:37AM,
35.109272880000,-89.99588010000000,ot,4156653,1910013812ME,20XX North Pkwy,Intimidation,425,Crump,10/29/2019   2:15PM,
35.109350563152,-89.99007524320000,bu,4145376,1910006443ME,21XX Lamar Ave,Burglary/Business,723,Airways,10/14/2019   3:25AM,1
35.109352000000,-89.99610700000000,ot,4154296,1910014302ME,20XX S Pkwy East,Credit Card/Atm Fraud,422,Crump,10/30/2019   1:26PM,
35.109963600000,-89.98162657000000,aa,4160013,1911004288ME,24XX Brooklyn Ave,Aggravated Assault/Dv,521,Tillman,11/10/2019  12:19PM,1
35.110144090000,-90.00329755000000,bu,4171016,1911009940ME,17XX Glenview Ave,Burglary/Residential,422,Crump,11/22/2019  12:15PM,
35.110234340000,-89.99607542000000,bu,4173561,1912002868ME,13XX Worthington St,Burglary/Residential,422,Crump,12/06/2019   6:01PM,
35.110414840000,-89.98246710000000,bu,4158771,1911003072ME,23XX Douglass Ave,Burglary/Residential,521,Tillman,11/07/2019   2:14PM,
35.110505090000,-90.00972155000000,ot,4181181,1912009452ME,15XX Glenview Ave,Intimidation,422,Crump,12/20/2019   9:56AM,1
35.110505090000,-90.00917037000000,ot,4168187,1911011038ME,16XX Glenview Ave,Arson,422,Crump,11/25/2019   5:06AM,
35.110527090000,-89.99183157000000,th,4155636,1911000446ME,21XX Lamar Ave,Mvt/Passenger Vehicle,723,Airways,11/02/2019   3:02AM,
35.110567780000,-89.99167843000000,ot,4154400,1910014383ME,21XX Lamar Ave,Intimidation,424,Crump,10/30/2019   4:14PM,
35.110595340000,-90.00124292000000,bu,4145075,1910006173ME,18XX Glenview Ave,Burglary/Residential,422,Crump,10/13/2019  12:00PM,
35.110595340000,-90.00057256000000,ot,4157993,1911002510ME,18XX Glenview Ave,Other Theft/Scrap Metal,422,Crump,11/06/2019  12:00PM,
35.110595340000,-89.99186532000000,ot,4160029,1911004360ME,Lamar Ave & S Parkway E,Driving Under the Influence,723,Airways,11/10/2019   4:18PM,1
35.110598755572,-89.98502712470000,ot,4176230,1912004860ME,12XX Airways Blvd,Intimidation/Dv,424,Crump,12/10/2019   4:12PM,
35.110685590000,-89.98292203000000,aa,4173959,1912003167ME,23XX Douglass Ave,Aggravated Assault/Dv,521,Tillman,12/07/2019  11:52AM,
