Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
34.995226210000,-90.00431742000000,ot,4175856,1912004638ME,17XX Santa Clara Ave,Credit Card/Atm Fraud,226,Raines,12/10/2019   9:24AM,
34.995226210000,-90.00431742000000,ot,4174524,1912003645ME,17XX Santa Clara Ave,Credit Card/Atm Fraud,226,Raines,12/08/2019   3:47PM,
34.995406520000,-89.95481100000000,th,4158241,1911002693ME,56XX Tchulahoma Rd,Mvt/Passenger Vehicle,921,Ridgeway,11/06/2019   6:32PM,
34.995586840000,-90.02603996000000,we,4151271,1910011534ME,56XX Elvis Presley Blvd,Weapon Law Violations/Misdemeanor + Drugs/Narcotics Violation/Misdemeanor + Weapon Law Violations/Misdemeanor + Drugs/Narcotics Violation/Misdemeanor + Weapon Law Violations/Misdemeanor,221,Raines,10/24/2019   1:13PM,1
34.997029340000,-90.00878649000000,ot,4174333,1912003057ME,16XX Buxton Ave,Intimidation/Dv + Vandalism/Misdemeanor,221,Raines,12/07/2019   2:34AM,1
34.997029340000,-90.00878649000000,th,4173583,1912002885ME,16XX Buxton Ave,Mvt/Passenger Vehicle,221,Raines,12/06/2019   6:24PM,
34.997389960000,-90.03108715000000,ot,4185616,1912013408ME,9XX Scaife Rd,Missing Person,221,Raines,12/30/2019  10:07AM,
34.997864479642,-89.93595529660000,bu,4165109,1911008725ME,55XX Getwell Rd,Burglary/Business,922,Ridgeway,11/20/2019  12:21AM,
34.998373490000,-89.97224732000000,th,4139823,1910001417ME,55XX Swinnea Rd,Mvt/Passenger Vehicle,921,Ridgeway,10/03/2019   2:19PM,
34.998652170000,-90.02131020000000,bu,4160640,1911004836ME,12XX Ryanwood Ave,Burglary/Residential,221,Raines,11/11/2019   7:54PM,
34.999373440000,-90.00021618000000,th,4143668,1910004829ME,54XX La Strada St,Mvt/Passenger Vehicle,226,Raines,10/10/2019   7:43AM,
34.999463600000,-90.00528801000000,ot,4138953,1910000522ME,17XX San Bernardo Ave,Credit Card/Atm Fraud,226,Raines,10/02/2019  12:26AM,
34.999463600000,-90.00189266000000,ot,4174341,1912003511ME,54XX Hudgins Rd,Credit Card/Atm Fraud,226,Raines,12/08/2019   8:51AM,
34.999734080000,-90.00172650000000,ot,4182751,1912010886ME,54XX Hudgins Rd,Custodial Interference,226,Raines,12/23/2019   5:06PM,
