Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.128777900000,-90.02015520000000,dr,3768659,1712013930ME,12XX Lamar Ave,Drug Equipment Violation,423,Crump,12/30/2017   2:38PM,1
35.128852000000,-90.02071200000000,ot,3777865,1801007693ME,12XX Lamar Ave,False Pretenses/Swindle/Confidence Game,423,Crump,01/18/2018   3:46PM,
35.128852000000,-90.02071200000000,sa,3761139,1712007232ME,12XX Lamar Ave,Simple Assault/Dv,423,Crump,12/15/2017   8:25AM,
35.129260120000,-90.02097263000000,sa,3779860,1801009629ME,6XX South Bellevue Boulevard,Simple Assault,423,Crump,01/22/2018   8:18PM,
35.129947008556,-90.02273506860000,aa,3774680,1801004549ME,11XX Lamar Ave,Aggravated Assault + Weapon Law Violations/Misdemeanor,423,Crump,01/10/2018   1:05PM,1
35.130361820000,-90.01402447000000,ot,3805187,1803002657ME,14XX Vinton Ave,False Pretenses/Swindle/Confidence Game,423,Crump,03/06/2018   3:27PM,
35.130450000000,-90.02407000000000,ot,3803469,1803001062ME,I 240 & Lamar Ave,Driving Under the Influence,422,CRUMP,03/02/2018  10:54PM,1
35.130450000000,-90.02407000000000,ot,3795285,1802008614ME,I 240 & Lamar Ave,Driving Under the Influence,422,CRUMP,02/17/2018   1:14AM,1
35.130450000000,-90.02407000000000,ot,3791597,1802005387ME,I 240 & Lamar Ave,Driving Under the Influence,422,CRUMP,02/11/2018   2:36AM,1
35.130452090000,-90.02752335000000,sa,3761818,1712007901ME,6XX S Camilla St,Simple Assault/Dv,422,Crump,12/16/2017   4:29PM,
35.130903420000,-90.01748341000000,ot,3762387,1712008291ME,13XX Vinton Ave,Other Theft/Non-Specific,423,Crump,12/17/2017   4:00PM,
35.131461884420,-90.03844656990000,sa,3774941,1801005183ME,6XX Saint Paul Ave,Simple Assault/Dv,621,South Main,01/11/2018   4:22PM,
35.131519017430,-90.02999640280000,ot,3776208,1801006252ME,9XX E H Crump Blvd,Missing Person,422,Crump,01/15/2018   9:05AM,
35.131565700000,-90.02599330000000,ot,3801613,1802014205ME,9XX Lamar Ave,Stalking/Dv,422,Crump,02/28/2018  12:46PM,
35.131730000000,-90.02656000000000,dr,3777851,1801007701ME,10XX Crump Ave,Drugs/Narcotics Violation/Felony,621,South Main,01/18/2018   3:49PM,1
35.131754000000,-90.03973100000000,bu,3775551,1801005675ME,4XX South Orleans St,Burglary/Business,621,North Main,01/13/2018  11:45AM,
35.131754000000,-90.03973100000000,bu,3768557,1712013830ME,4XX Sorleans St,Burglary/Business,621,North Main,12/30/2017   8:17AM,
35.131769000000,-90.03730400000000,ot,3795092,1802008513ME,7XX St Paul Ave,Intimidation/Dv,621,North Main,02/16/2018   8:14PM,
35.131806090000,-90.03977204000000,bu,3779851,1801009578ME,4XX S Orleans St,Burglary/Business,621,South Main,01/22/2018   7:04PM,
35.131807646941,-90.01746631200000,ot,3764033,1712009761ME,13XX Carr Ave,Exhibitionist,423,Crump,12/20/2017   7:45AM,
35.131830000000,-90.03097000000000,ot,3776675,1801006691ME,9XX Eh Crump Blvd,Counterfeiting/Forgery,621,North Main,01/16/2018  12:31PM,
35.131898189032,-90.03040366890000,ot,3778457,1801008308ME,9XX E E H Crump Blvd,Intimidation/Dv,621,South Main,01/19/2018   9:13PM,
35.131989200000,-90.02663790000000,ro,3790418,1802004225ME,10XX E E H Crump Blvd,Robbery/Individual,621,North Main,02/08/2018   8:30PM,
35.132134800000,-90.03010690000000,we,3802966,1803000886ME,9XX Eh Crump Blvd,Weapon Law Violations/Felony + Drugs/Narcotics Violation/Felony,621,North Main,03/02/2018   3:46PM,1
35.132347690000,-90.00216539000000,sa,3758114,1712004415ME,17XX Peabody Ave,Simple Assault,424,Crump,12/09/2017   3:05PM,
35.132602500000,-90.03289039999999,aa,3777958,1801007840ME,4XX Cossitt Pl,Aggravated Assault/Dv,621,South Main,01/18/2018   9:23PM,
35.132602500000,-90.03289039999999,aa,3774628,1801004895ME,4XX Cossitt Pl,Aggravated Assault/Dv,621,South Main,01/11/2018  12:41AM,
35.132618500000,-90.02995957000000,ot,3797309,1802010372ME,9XX Peabody Ave,Custodial Interference,621,South Main,02/20/2018  11:59PM,
35.132618500000,-90.02995957000000,sa,3774273,1801004571ME,9XX Peabody St,Simple Assault/Dv,621,South Main,01/10/2018   1:48PM,
35.132618500000,-90.02995957000000,sa,3760108,1712006292ME,9XX Peabody St,Simple Assault,621,South Main,12/13/2017  12:13PM,
35.132618500000,-90.02995957000000,ot,3759219,1712005320ME,9XX Peabody Ave,Intimidation/Dv,621,South Main,12/11/2017   6:24PM,
35.132653184927,-90.03512581500000,bu,3756771,1712003212ME,3XX Walnut St,Burglary/Business,621,North Main,12/07/2017   8:14AM,
35.132708760000,-90.03237573000000,sa,3802220,1803000239ME,8XX Estival Pl,Simple Assault/Dv,621,North Main,03/01/2018   1:24PM,
35.132708760000,-90.02134056000000,aa,3788964,1802002844ME,12XX Peabody Ave,Aggravated Assault,423,Crump,02/06/2018   4:19PM,1
35.132728100000,-90.03264990000002,aa,3803239,1803001087ME,3XX Cossitt Place,Aggravated Assault/Dv,621,South Main,03/02/2018  11:51PM,
35.132794428407,-90.02706100850000,ot,3761594,1712007615ME,10XX Peabody Ave,Intimidation,621,South Main,12/15/2017   9:47PM,
35.132797100000,-90.02353570000000,sa,3804073,1803001772ME,10XX Peabody Ave,Simple Assault,423,Crump,03/04/2018   9:33PM,
35.132889300000,-90.02522694000000,sa,3762565,1712008260ME,10XX Peabody St,Simple Assault/Dv,621,North Main,12/17/2017   2:38PM,
