Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.078444978589,-89.90702787580000,aa,4167589,1911010940ME,I 240 & Perkins Rd,Aggravated Assault/Dv,323,Mt. Moriah,11/24/2019   8:43PM,
35.078470610000,-89.90703237000000,ot,4178537,1912007064ME,I 240 & Perkins Rd,Driving Under the Influence,323,Mt. Moriah,12/15/2019   8:57AM,1
35.078471080000,-89.91218867000000,ot,4181786,1912009671ME,45XX Jamaica Ave,Credit Card/Atm Fraud,323,Mt. Moriah,12/20/2019   4:39PM,
35.078561310000,-89.90343559000000,ot,4156238,1911000733ME,25XX Thousand Oaks Blvd,Intimidation,324,Mt. Moriah,11/02/2019   8:45PM,
35.078932930189,-89.91908546680000,ot,4177192,1912005977ME,19XX Ezell St,Intimidation/Dv,323,Mt. Moriah,12/12/2019   5:40PM,
35.079373320000,-89.92239877000000,th,4153836,1910013958ME,19XX Watson Rd,Mvt/Passenger Vehicle,323,Mt. Moriah,10/29/2019   7:08PM,
35.079463550000,-89.91951622000000,ro,4181411,1912009653ME,19XX Ezell St,Robbery/Business,323,Mt. Moriah,12/20/2019   4:02PM,
35.079553770000,-89.91002174000000,th,4165161,1911008737ME,19XX Tahiti Ln,Mvt/Passenger Vehicle,323,Mt. Moriah,11/20/2019   1:15AM,
35.079734220000,-89.91000398000000,ot,4144371,1910005550ME,19XX Tahiti Ln,Custodial Interference,323,Mt. Moriah,10/11/2019   4:35PM,
35.079914670000,-89.93149161000000,aa,4168597,1911011817ME,I 240 & Get Well,Aggravated Assault,321,Mt. Moriah,11/26/2019   4:36PM,
35.079914670000,-89.93132259000000,dr,4153191,1910013107ME,I 240 & Getwell Rd,Drug Equipment Violation,327,Mt. Moriah,10/28/2019  10:31AM,1
35.080004900000,-89.92251509000000,th,4154334,1910014298ME,18XX Watson St,Mvt/Passenger Vehicle,323,Mt. Moriah,10/30/2019   1:27PM,
35.080141800000,-89.92309449999999,ot,4184911,1912012795ME,18XX Watson Rd,Other Theft/Non-Specific,323,Mt. Moriah,12/28/2019   5:12PM,
35.080365800000,-89.90496080000000,ot,4175256,1912004295ME,18XX Lanier Ln,Other Theft/Non-Specific,323,Mt. Moriah,12/09/2019   5:03PM,
35.080997370000,-89.90998736000000,bu,4160432,1911004629ME,18XX Tahiti Ln,Burglary/Residential,323,Mt. Moriah,11/11/2019  11:03AM,
35.081056350000,-89.88914859000000,dr,4167298,1911010610ME,24XX Mt Moriah Rd,Drugs/Narcotics Violation/Felony,326,Mt. Moriah,11/24/2019  12:48AM,1
35.081056350000,-89.88914859000000,th,4152658,1910012797ME,24XX Mt Moriah Rd,Mvt/Passenger Vehicle,326,Mt. Moriah,10/27/2019   3:07PM,
35.081056350000,-89.88914859000000,aa,4149745,1910010255ME,24XX Mt Moriah Rd,Aggravated Assault/Dv,326,Mt. Moriah,10/22/2019   4:31AM,
35.081087600000,-89.91785006000000,aa,4142835,1910004146ME,18XX Denison St,Aggravated Assault,323,Mt. Moriah,10/09/2019  12:30AM,
35.081597739085,-89.88915268210000,dr,4163637,1911007468ME,24XX Mt Moriah Rd,Drugs/Narcotics Violation/Felony,326,Mt. Moriah,11/17/2019   3:43PM,1
35.081628950000,-89.90759068000000,th,4157148,1911001772ME,18XX S Perkins Rd,Mvt/Passenger Vehicle,323,Mt. Moriah,11/05/2019   5:14AM,
35.081628950000,-89.90759068000000,ot,4153618,1910013608ME,18XX S Perkins Rd,Carjacking,323,Mt. Moriah,10/29/2019   7:37AM,
35.081628950000,-89.88907956000000,dr,4160559,1911004151ME,24XX Mount Moriah Rd,Drugs/Narcotics Violation/Felony,326,Mt. Moriah,11/10/2019   1:26AM,
35.081923829046,-89.90999293220000,bu,4144378,1910005493ME,45XX E Mallory Ave,Burglary/Residential,323,Mt. Moriah,10/11/2019   3:25PM,
35.082340286707,-89.93821347880000,ot,4163058,1911006651ME,37XX Robin Park Cir,Obscene/Harassing Phone Calls/Dv,322,Mt. Moriah,11/15/2019   2:02PM,
35.082350770000,-89.91262641000000,aa,4142630,1910003940ME,44XX E Mallory St,Aggravated Assault,323,Mt. Moriah,10/08/2019   3:45PM,1
35.082801900000,-89.91046234000000,aa,4185953,1912013611ME,17XX Tahiti Ln,Aggravated Assault,323,Mt. Moriah,12/30/2019   5:28PM,
35.082801900000,-89.91046234000000,bu,4147793,1910008599ME,17XX Tahiti Ln,Burglary/Residential,323,Mt. Moriah,10/18/2019   9:28AM,
35.082801900000,-89.90495336000000,dr,4177484,1912000405SH,17XX Lanier Rd,Drugs/Narcotics Violation/Misdemeanor,323,Mt. Moriah,12/06/2019   1:46PM,1
35.082801900000,-89.90495336000000,dr,4171589,1912000130SH,17XX Lanier Rd,Drugs/Narcotics Violation/Misdemeanor,323,Mt. Moriah,12/02/2019   1:53PM,1
35.082820607286,-89.90495576770000,dr,4173331,1912000314SH,17XX Lanier Ln,Drugs/Narcotics Violation/Misdemeanor,323,Mt. Moriah,12/05/2019  10:35AM,1
35.082820607286,-89.90495576770000,dr,4157806,1911000311SH,17XX Lanier Ln,Drugs/Narcotics Violation/Misdemeanor,323,Mt. Moriah,11/06/2019   7:44AM,1
35.082892130000,-89.92676242000000,bu,4175387,1912004422ME,40XX E Mallory Ave,Burglary/Residential,322,Mt. Moriah,12/09/2019   9:03PM,
35.083253040000,-89.91415678000000,ot,4175934,1912004898ME,17XX Dearing Rd,Obscene/Harassing Phone Calls,323,Mt. Moriah,12/10/2019   5:23PM,
35.083268999392,-89.90595422900000,ot,4164810,1911008441ME,17XX Myrna Ln,Other Theft/Non-Specific,323,Mt. Moriah,11/19/2019  12:28PM,1
35.083343260000,-89.93921680000000,aa,4163806,1911007099ME,17XX Robin Hood Ln,Aggravated Assault + Vandalism/Felony,322,Mt. Moriah,11/16/2019   3:17PM,
35.083343260000,-89.93885985000000,bu,4184959,1912012757ME,37XX Norris,Burglary/Residential,322,Mt. Moriah,12/28/2019   3:15PM,
35.083357000000,-89.93902600000001,ot,4143409,1910004646ME,37XX Norris Rd,Intimidation/Dv,322,Mt. Moriah,10/09/2019   7:36PM,
35.083433490000,-89.92686785000000,bu,4180999,1912009129ME,40XX E Mallory Ave,Burglary/Residential,322,Mt. Moriah,12/19/2019   4:18PM,
35.083523720000,-89.90753167000000,bu,4177029,1912005818ME,17XX S Perkins Rd,Burglary/Residential,323,Mt. Moriah,12/12/2019  12:21PM,
35.083613950000,-89.92318716000000,bu,4164854,1911008401ME,17XX Watson Rd,Burglary/Residential,322,Mt. Moriah,11/19/2019  11:45AM,
35.083704170000,-89.90793159000000,bu,4177084,1912005352ME,17XX Cornelia Ln,Burglary/Residential,323,Mt. Moriah,12/11/2019   1:20PM,
35.083884630000,-89.90648029000000,bu,4185221,1912013079ME,17XX Myrna Ln,Burglary/Residential,323,Mt. Moriah,12/29/2019   1:28PM,
35.084065090000,-89.93639441000000,aa,4179795,1912008194ME,37XX E Mallory Rd,Aggravated Assault,322,Mt. Moriah,12/17/2019   4:09PM,
35.084065090000,-89.90887468000000,bu,4147538,1910008314ME,17XX Dorrie Ln,Burglary/Residential,323,Mt. Moriah,10/17/2019   4:35PM,
35.084071013923,-89.93077871160000,ot,4143714,1910004924ME,17XX Getwell Rd,Intimidation,322,Mt. Moriah,10/10/2019  11:45AM,
35.084606460000,-89.92420646000000,ot,4169309,1911012440ME,41XX Elliston Rd,Intimidation + Vandalism/Misdemeanor,322,Mt. Moriah,11/28/2019   2:58AM,
35.084625400327,-89.92116688170000,ot,4173114,1912002404ME,42XX Elliston Rd,Intimidation,323,Mt. Moriah,12/05/2019   7:35PM,
35.084747068727,-89.90263765020000,ot,4151936,1910012011ME,47XX Willow Rd,Accidental Injury,323,Mt. Moriah,10/25/2019  12:21PM,
