Latitude,Longitude,Typ,ID,Incident,Location,Offense,Ward,Precinct,Incident Date,Arrest
35.121741000000,-89.75529200000000,sa,3634971,1705000678SH,92XX Beaver Valley Ln,Simple Assault/Dv,,,05/18/2017   9:23PM,
35.128263946180,-89.74046332190000,ot,3633338,1705000589SH,96XX Grays Meadow Cv,Intimidation,003,,05/16/2017   5:54PM,
35.129569400000,-89.72807330000000,sh,3631879,1705000521SH,1XX N Houston Levee,Shoplifting/Misdemeanor,,,05/14/2017   1:25AM,
35.129569400000,-89.72807330000000,ot,3606352,1703001150SH,1XX Houston Levee Rd,Credit Card/Atm Fraud,,,03/31/2017  12:39PM,
35.131462949898,-89.72812112640000,ot,3617010,1704000676SH,1XX S Houston Levee,Intimidation,,,04/19/2017   1:05AM,
35.136152000000,-89.72919000000002,th,3627827,1705000233SH,100XX Holly Grove,Mvt/Passenger Vehicle + Vandalism/Misdemeanor,,,05/06/2017   2:19PM,
35.137031000000,-89.74840800000000,ot,3627517,1705000148SH,4XX Greywood Ln,Other Theft/Non-Specific + Identity Theft,,,05/04/2017   4:08PM,
35.146406945052,-89.72616473780000,th,3618674,1704000767SH,8XX N Houston Levee Rd,Theft From Motor Vehicle,,,04/21/2017   8:27AM,
35.150516000000,-89.74454500000000,va,3625328,1705000071SH,94XX Rocky Hills Dr,Vandalism/Misdemeanor,,,05/02/2017   5:13PM,
35.152512000000,-89.72202660000000,th,3610176,1704000216SH,102XX Woodland Hills Dr,Theft From Motor Vehicle,,,04/07/2017   8:25AM,1
35.152643000000,-89.72423610000000,th,3610819,1704000214SH,101XX Woodland Hills Dr,Theft From Motor Vehicle,,,04/07/2017   7:15AM,
35.153853000000,-89.72150100000000,ot,3631652,1705000510SH,102XX Green Moss,Other Theft/Non-Specific,,,05/13/2017   6:44PM,
35.154026000000,-89.73814600000003,ot,3635847,1705000732SH,10XX Woodland Glen,Theft From Building,,,05/20/2017  10:27AM,
35.154078400000,-89.72222040000000,sa,3630863,1705000409SH,102XX N Green Moss Dr,Simple Assault/Dv,,,05/11/2017   1:01AM,
35.154489000000,-89.75068600000000,th,3642382,1705001095SH,93XX Afton Grove,Mvt/Passenger Vehicle,,,05/31/2017  12:30PM,
35.154922200000,-89.72307670000000,bu,3601506,1703000822SH,10XX W Red Fern Cir,Burglary/Residential,,,03/23/2017   2:50PM,
35.154929000000,-89.72279100000000,bu,3626460,1705000144SH,10XX W Red Fern Cr,Burglary/Residential,,,05/04/2017   1:49PM,
35.155189000000,-89.75916590000000,th,3604140,1703000964SH,10XX Averett Ln,Theft From Motor Vehicle,,,03/28/2017   8:11AM,
35.155264000000,-89.72782100000000,ot,3613361,1704000453SH,11XX N Houston Levee Rd,Theft Of Vehicle Parts/Accessories,,,04/12/2017   5:36PM,
35.155385000000,-89.75301800000000,ot,3618691,1704000782SH,92XX Chastain Pl,Theft From Building,,,04/21/2017  12:52PM,
35.156178677711,-89.71953778270000,sa,3618842,1704000799SH,11XX Mossy Knoll Dr,Simple Assault/Dv + Runaway,003,,04/21/2017   7:08PM,1
35.156178677711,-89.71953778270000,ot,3599111,1703000667SH,11XX Mossy Knoll Dr,Intimidation/Dv,003,,03/20/2017  12:53AM,
35.156512000000,-89.73882200000000,th,3602494,1703000883SH,97XX Woodland Creek Ln,Theft From Motor Vehicle,,,03/25/2017   9:51AM,
35.157106000000,-89.73376300000000,ot,3639581,1705000973SH,11XX Sanbyrn Dr,Intimidation + Vandalism/Misdemeanor,,,05/26/2017  11:49AM,
35.157144000000,-89.72360800000000,ot,3606492,1703001169SH,11XX Breezy Valley Dr,Other Theft/Non-Specific,,,03/31/2017   5:33PM,
35.157171500000,-89.72753150000000,ot,3607383,1704000028SH,11XX N Houston Levee Rd,Theft From Building,,,04/02/2017   4:14PM,1
35.157372200000,-89.72437770000000,dr,3640793,1705001034SH,11XX Breezy Valley Dr,Drugs/Narcotics Violation/Felony,,,05/28/2017   9:50PM,1
35.157478100000,-89.72801460000000,bu,3603250,1703000918SH,11XX North Houston Levee,Burglary/Business,,,03/27/2017   5:32AM,
35.157548000000,-89.73248000000001,th,3611871,1704000320SH,11XX Macon View Dr,Theft From Motor Vehicle,,,04/10/2017   9:21AM,
35.157564000000,-89.72496700000000,ot,3638278,1705000887SH,10XX Breezy Valley Rd,Other Theft/Non-Specific,,,05/24/2017   2:37PM,
35.158470973462,-89.72739268760000,sh,3602144,1703000865SH,12XX Houston Levee,Shoplifting/Misdemeanor,,,03/24/2017   4:25PM,1
35.158470997576,-89.72739280620000,sh,3620019,1704000854SH,12XX N Houston Levee Rd,Shoplifting/Misdemeanor,003,,04/23/2017   9:24PM,
35.158470997576,-89.72739280620000,ot,3605405,1703001072SH,12XX Nhouston Levee,Theft From Building,003,,03/29/2017  11:18PM,
35.158958800000,-89.72564470000000,sh,3628910,1705000321SH,12XX N Houston Leveee,Shoplifting/Misdemeanor,,,05/09/2017   8:45AM,
35.158964000000,-89.73710399999999,ot,3620438,1704000903SH,12XX Macon Hall,Other Theft/Non-Specific,,,04/24/2017   9:21PM,
35.159267300000,-89.72312899999997,ro,3600947,1703000784SH,101XX Sorrento Pl,Robbery/Individual,,,03/22/2017   6:30PM,1
35.160134800000,-89.73027140000000,sh,3624537,1704001105SH,99XX Macon Rd,Shoplifting/Misdemeanor,,,04/30/2017   5:03PM,1
35.160134800000,-89.73027140000000,sh,3619707,1704000851SH,99XX Macon Rd,Shoplifting/Misdemeanor,,,04/23/2017   6:18PM,
35.160134800000,-89.73027140000000,sh,3617754,1704000712SH,99XX Macon Rd,Shoplifting/Misdemeanor,,,04/19/2017   8:39PM,
35.160134800000,-89.73027140000000,sh,3611929,1704000343SH,99XX Macon Rd,Shoplifting/Misdemeanor,,,04/10/2017   5:14PM,
35.160859000000,-89.72298799999999,sa,3610045,1704000211SH,13XX Carlton Ridge Dr,Simple Assault/Dv,,,04/06/2017  11:18PM,1
